NO,age,gender,edu,Marital,Religious,Ward,work_experience,Mindfulness,Stress,happiness
1,22,2,2,1,2,1,2,32,32,48
2,22,2,2,1,1,1,1,38,35,40
3,21,2,2,1,2,1,1,36,36,65
4,21,2,2,1,1,1,2,53,42,44
5,23,2,2,1,1,1,1,31,40,45
6,24,2,2,1,1,1,1,29,42,43
7,22,2,2,2,1,1,1,37,30,39
8,22,2,2,1,2,1,1,33,38,40
9,22,2,2,1,2,1,1,33,37,47
10,22,2,2,1,2,2,1,42,34,37
11,21,2,2,1,2,2,1,31,31,57
12,22,2,2,1,2,2,1,30,41,50
13,21,2,2,2,2,2,1,27,38,36
14,22,2,2,1,2,2,1,30,31,41
15,21,2,2,1,1,1,2,35,47,58
16,23,2,2,1,1,1,1,34,43,48
17,23,1,2,1,1,1,2,36,33,44
18,21,2,2,1,1,1,2,28,35,56
19,22,2,2,1,2,1,2,46,41,44
20,21,2,2,1,1,1,1,23,37,46
21,21,2,2,1,1,1,2,36,37,52
22,22,2,2,2,2,1,1,35,37,44
23,22,1,2,1,2,1,1,37,40,45
24,24,2,2,1,2,1,2,33,38,57
25,24,2,2,2,1,1,2,32,42,49
26,21,2,2,1,2,1,2,49,36,45
27,25,1,2,1,2,1,1,32,34,48
28,23,2,1,1,1,1,2,32,44,54
29,23,2,2,1,1,1,2,66,45,41
30,24,2,2,1,1,1,2,35,37,50
31,23,2,2,1,1,1,2,23,46,75
32,22,2,2,1,1,1,1,24,38,53
33,23,1,1,1,1,1,2,33,39,44
34,22,2,2,1,2,1,2,33,39,42
35,21,2,2,1,1,2,2,42,35,44
36,21,2,2,1,1,2,2,39,39,56
37,21,2,2,1,1,2,1,37,34,41
38,24,2,2,1,1,2,1,38,32,46
39,22,2,2,1,1,2,1,44,41,36
40,21,2,2,1,1,2,1,27,41,59
41,25,2,2,1,2,2,2,32,35,42
42,22,2,2,1,1,1,2,28,32,48
43,24,1,2,1,2,1,1,32,40,37
44,22,2,2,1,1,1,2,32,28,40
45,22,1,2,1,2,1,1,38,45,51
46,22,2,2,1,1,1,1,48,33,43
47,24,2,2,1,1,1,2,45,42,40
48,22,2,2,1,2,1,1,33,46,59
49,23,2,2,1,1,2,2,30,43,39
50,22,2,2,1,1,2,1,32,31,46
51,23,2,2,2,1,2,2,26,48,62
52,21,2,1,1,2,2,2,36,30,63
53,22,2,1,1,2,2,2,30,39,47
54,23,2,2,2,2,2,1,38,43,51
55,24,2,2,2,2,1,2,40,37,29
56,22,2,1,1,1,1,1,35,39,44
57,22,2,2,1,2,1,2,32,44,46
58,22,2,2,1,2,1,1,30,32,49
59,22,2,2,1,2,1,2,54,43,36
60,22,2,2,1,1,1,1,49,40,41
61,21,2,2,1,1,1,1,24,33,45
62,23,2,2,1,2,3,2,42,37,53
63,22,2,2,1,1,3,1,44,39,41
64,21,2,2,1,1,1,1,28,38,56
65,24,2,2,1,2,1,2,36,33,42
66,21,2,2,1,2,1,2,31,31,59
67,22,2,2,1,2,1,2,42,34,50
68,22,2,2,1,1,1,2,37,29,41
69,21,2,2,1,2,1,2,36,36,36
70,21,2,2,1,2,1,2,50,38,40
71,24,2,2,2,1,1,2,59,36,51
72,22,2,2,1,1,1,2,45,46,39
73,21,2,2,1,1,1,2,36,36,44
74,22,2,2,1,1,1,1,26,36,56
75,22,2,2,1,1,1,2,33,34,50
76,22,2,2,1,1,1,1,43,32,44
77,21,2,2,1,1,1,2,36,38,51
78,24,2,2,1,2,1,2,36,38,43
79,21,2,1,1,1,1,2,40,30,53
80,21,2,2,1,2,1,2,25,42,59
81,22,2,1,1,1,1,2,32,45,45
82,24,2,1,2,2,1,2,43,38,45
83,22,2,2,1,1,1,1,30,46,51
84,22,2,2,1,1,1,2,35,37,47
85,23,2,2,2,2,1,1,39,39,45
86,25,2,2,1,2,1,2,38,39,38
87,24,2,2,1,1,1,1,36,40,38
88,23,2,2,1,1,1,2,24,40,57
89,22,2,2,1,1,1,2,32,41,58
90,23,2,2,1,1,1,2,39,39,40
91,21,2,2,1,1,1,1,34,43,60
92,23,2,2,1,1,1,3,47,40,36
93,23,2,2,1,1,3,1,29,43,53
94,23,2,2,1,2,2,1,20,36,58
95,23,2,2,1,2,1,1,33,34,52
96,22,2,1,1,1,1,1,29,34,51
97,21,2,1,1,2,2,1,24,42,55
98,23,2,2,1,2,1,1,30,37,49
99,23,2,2,1,1,2,1,30,45,61
100,30,2,2,1,1,3,3,33,35,44
101,21,2,1,1,2,1,1,21,44,54
102,24,1,2,1,1,1,1,29,41,43
103,23,2,2,1,1,3,1,37,37,53
104,23,1,2,1,1,1,1,26,39,49
105,23,2,2,1,2,1,1,41,45,47
106,23,2,2,1,1,3,1,42,39,44
107,23,2,1,1,2,2,1,32,35,47
108,24,2,2,1,2,3,1,39,42,40
109,23,2,2,1,2,1,1,38,44,51
110,23,1,2,1,1,1,1,53,43,41
111,61,2,2,2,1,3,3,35,36,46
112,26,2,2,1,2,1,1,47,39,36
113,25,1,2,1,1,1,1,22,43,71
114,23,2,2,1,2,1,1,32,41,41
115,32,2,1,1,1,1,3,48,37,36
116,24,2,2,1,2,3,1,26,38,79
117,23,1,2,1,1,1,1,47,25,49
118,25,2,2,1,2,2,3,69,49,28
119,23,2,2,1,1,2,1,46,38,53
120,25,2,2,1,1,2,1,37,37,40
121,23,2,2,1,2,2,1,35,35,53
122,23,2,2,1,1,2,3,42,43,44
123,23,2,2,1,2,1,1,42,40,49
124,23,2,2,1,2,3,1,43,42,48
125,23,2,2,1,1,3,1,52,39,31
126,23,2,2,1,2,2,1,33,46,54
127,38,2,2,1,1,3,3,53,38,45
128,23,2,2,1,2,1,1,34,36,56
129,22,1,1,1,1,1,1,32,42,54
130,25,2,1,1,2,3,1,34,50,57
131,23,2,2,1,2,2,1,43,33,47
132,24,2,2,1,1,1,1,33,38,37
133,23,2,2,1,2,2,1,32,44,48
134,23,2,2,1,1,1,1,38,49,55
135,23,2,2,1,1,1,1,29,38,41
136,21,2,1,1,1,1,1,32,32,42
137,23,2,2,1,1,2,1,35,50,79
138,23,2,2,1,1,2,1,23,40,59
139,21,2,1,1,1,3,1,36,37,38
140,23,2,2,1,1,2,1,30,35,71
141,23,2,2,1,2,1,1,22,38,64
142,23,2,2,1,2,1,1,37,34,52
143,24,2,2,1,2,1,1,20,38,69
144,25,2,2,1,1,3,1,36,38,41
145,23,2,2,1,1,1,1,26,45,57
146,23,2,2,1,2,1,1,23,32,50
147,24,2,2,1,2,2,1,31,44,50
148,24,2,2,1,2,2,1,47,38,39
149,30,2,2,1,1,3,3,38,51,53
150,23,2,2,1,1,3,1,43,44,45
151,23,2,2,1,1,3,1,31,38,42
152,23,2,2,1,1,1,1,29,38,44
153,23,2,2,1,1,3,1,35,39,46
154,23,2,2,1,1,1,3,41,38,45
155,33,2,1,1,2,1,1,37,37,48
156,23,2,2,1,1,3,1,35,51,38
157,24,2,2,1,2,2,1,30,40,54
158,23,2,2,1,2,2,1,26,34,50
159,23,2,2,1,2,1,1,30,37,46
160,23,2,1,1,2,2,1,34,41,44
161,23,2,2,1,2,2,1,34,40,48
162,28,2,1,1,1,3,3,42,40,38
163,24,2,2,1,2,1,1,28,40,52
164,23,2,2,1,1,3,1,32,38,44
165,34,2,2,1,1,3,3,39,43,65
166,23,1,1,1,1,1,1,48,39,48
167,23,2,2,1,2,1,1,39,50,80
168,23,2,2,1,1,2,1,26,43,69
169,23,2,2,1,1,1,1,38,40,44
170,46,2,1,2,2,3,3,34,48,48
171,23,2,2,1,2,3,1,33,43,59
172,23,2,2,1,1,2,1,30,28,41
173,23,2,2,1,1,3,1,30,36,40
174,23,2,2,1,2,1,1,25,39,47
175,23,2,2,1,1,3,1,26,43,47
176,29,2,1,1,1,1,3,37,44,63
177,24,2,2,1,2,2,1,26,41,71
178,23,2,2,1,1,2,1,40,40,36
179,24,2,2,1,2,3,1,36,36,40
180,23,2,2,1,1,3,1,42,45,48
181,24,2,2,1,2,1,1,34,41,45
182,23,2,2,1,1,1,1,35,44,41
183,23,2,2,1,1,2,1,35,33,47
184,23,2,2,1,2,1,1,18,39,41
185,23,2,2,1,1,2,1,46,37,39
186,24,2,2,1,1,2,1,76,40,34
187,27,2,1,1,1,1,1,19,27,58
188,41,2,2,1,2,3,1,47,45,51
189,25,2,1,1,1,1,1,48,40,37
190,23,2,2,1,1,1,1,64,41,45
191,24,2,2,1,1,1,1,28,42,47
192,33,2,2,1,1,3,3,52,45,52
193,23,2,2,1,2,1,1,31,44,62
194,22,2,1,1,1,2,1,35,32,42
195,23,2,1,1,1,1,1,36,34,44
196,25,1,2,1,1,1,1,41,39,42
197,23,2,2,1,1,1,1,43,39,52
198,24,1,2,1,2,1,3,33,49,63
199,22,1,1,1,1,1,1,28,40,41
200,47,2,1,2,1,1,3,38,37,48
201,23,2,2,1,1,3,1,32,46,47
202,43,2,2,1,1,1,3,61,41,31
203,29,2,2,1,1,3,3,27,42,48
204,23,2,2,1,1,2,1,35,39,35
205,23,2,2,1,1,3,1,34,40,54
206,30,2,2,1,2,3,3,37,40,37
207,24,1,2,1,1,1,2,37,36,42
208,27,1,2,1,1,3,3,39,49,43
209,23,2,2,1,1,3,1,34,46,58